matchId,Diff-A,Diff-K,Diff_CS,Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_Inhibitor,Diff_LV,Diff_WARDkill,Diff_WARDplaced,Diff_jglCS,dragonType,result
KR_6741690974,-1,1,43,1,1,-1,-1,0,-1,-1,-35,12,0,1
KR_6745383896,6,1,14,1,1,1,1,0,2,3,-9,-16,0,1
KR_6744402678,3,6,75,1,1,1,1,0,2,4,12,-16,0,1
KR_6742865044,1,0,-22,-1,1,-1,-1,0,2,4,18,24,0,1
KR_6749510736,5,10,100,1,1,-1,1,0,7,-3,52,-4,0,1
KR_6742894663,13,10,148,-1,1,1,1,0,6,6,34,18,0,1
KR_6745807260,12,7,0,1,1,1,1,0,2,2,2,17,0,1
KR_6747143521,12,10,80,1,1,1,1,0,7,-1,3,6,0,1
KR_6748743701,-4,-3,-5,-1,0,0,-1,-1,2,5,-9,0,0,1
KR_6750146695,12,10,12,1,1,-1,1,0,5,6,4,10,0,1
KR_6747854444,-7,1,-13,-1,1,1,1,0,0,-9,16,8,0,1
KR_6743731586,7,7,50,1,1,-1,1,0,4,2,7,15,0,1
KR_6753027453,-24,2,-9,1,0,0,-1,0,0,-5,32,0,0,1
KR_6724056578,14,5,-43,1,1,1,1,0,-2,-1,16,-40,0,1
KR_6746347403,6,2,1,1,-1,1,-1,0,-1,-1,-9,3,0,1
KR_6745654138,6,1,37,-1,-1,1,-1,0,1,1,-53,-21,0,1
KR_6748994323,22,8,-12,1,1,-1,1,0,3,-7,-3,19,0,1
KR_6745746610,-1,1,-33,-1,1,1,1,0,1,2,-41,-21,0,1
KR_6751313208,14,-1,-28,-1,-1,-1,-1,0,1,0,9,2,0,1
KR_6733672536,8,5,27,1,-1,1,1,0,4,2,-7,3,0,1
KR_6721383144,13,4,52,-1,-1,1,1,0,2,5,-22,15,0,1
KR_6746174406,2,6,48,1,-1,1,1,0,1,8,25,21,0,1
KR_6748880104,4,11,101,-1,1,1,1,0,8,-1,-6,4,0,1
KR_6749057371,6,12,31,1,1,1,1,0,3,-9,322,29,0,1
KR_6743320915,-2,2,36,1,-1,1,1,0,0,-7,6,-8,0,1
KR_6746674524,13,9,53,-1,-1,1,1,0,2,5,-3,-16,0,1
KR_6752239867,14,7,82,-1,1,1,1,0,5,-22,39,-9,0,1
KR_6745430692,5,-4,-56,-1,1,-1,-1,0,0,-2,-2,0,0,1
KR_6728179769,4,4,47,-1,0,1,1,0,1,4,-4,2,0,1
KR_6749236375,22,21,84,1,1,1,1,0,7,8,10,21,0,1
KR_6723256302,-11,-3,-7,1,0,0,1,1,-2,0,-29,0,0,1
KR_6747727998,73,23,23,-1,0,0,1,1,3,0,0,0,0,1
KR_6750141546,-3,-5,-11,-1,1,-1,-1,0,-2,2,36,5,0,1
KR_6733025305,5,1,-22,-1,-1,1,1,0,-1,4,-11,-12,0,1
KR_6745936449,-2,-5,-17,-1,-1,1,1,0,-3,-3,4,-20,0,1
KR_6741970266,7,6,40,1,1,1,1,0,4,-1,-32,9,0,1
KR_6744302020,3,2,10,1,1,-1,-1,0,1,-3,-1,-16,0,1
KR_6748367863,5,6,41,1,-1,1,1,0,2,4,-7,6,0,1
KR_6747087854,11,4,-23,-1,1,-1,-1,0,1,4,19,-1,0,1
KR_6737939142,10,7,-15,-1,1,1,1,0,5,1,0,39,0,1
KR_6751586294,-23,-6,-12,1,0,0,1,2,1,0,0,0,0,1
KR_6746493505,11,9,102,1,1,-1,1,0,7,-4,2,19,0,1
KR_6745005806,8,9,-52,-1,-1,1,0,0,2,17,-32,17,0,1
KR_6747498156,-6,1,16,1,-1,1,-1,0,0,0,1,-8,0,1
KR_6746028154,1,4,77,-1,1,-1,1,0,3,-7,15,-2,0,1
KR_6734952891,5,6,-33,1,1,1,0,0,0,-13,3,-15,0,1
KR_6745441748,1,4,7,1,1,1,0,0,1,3,-16,-16,0,1
KR_6716736257,8,10,-18,1,1,1,1,0,2,1,-7,1,0,1
KR_6752982942,14,6,-23,-1,1,-1,-1,0,-1,0,9,-19,0,1
KR_6714070228,-9,-1,29,1,1,1,1,0,4,3,-31,31,0,1
KR_6750157544,8,6,19,-1,1,1,-1,0,2,-1,-18,-18,0,1
KR_6751422243,6,8,36,1,1,-1,1,0,1,1,-1,30,0,1
KR_6745079547,-1,1,-55,-1,-1,-1,-1,0,0,-2,-3,-16,0,1
KR_6750756172,4,8,40,1,1,-1,0,0,1,-4,17,1,0,1
KR_6747548332,13,13,26,1,1,-1,-1,0,4,5,0,17,0,1
KR_6747516064,8,11,30,1,1,1,1,0,3,3,-12,0,0,1
KR_6746770038,-2,-1,34,1,1,-1,1,0,1,-1,9,-20,0,1
KR_6744866121,20,14,19,-1,1,-1,1,0,4,2,12,23,0,1
KR_6752956378,10,8,80,-1,-1,-1,1,0,4,-1,0,16,0,1
KR_6744602984,8,10,23,1,1,-1,1,0,4,14,-47,7,0,1
KR_6752455063,-18,-8,33,1,0,0,1,0,-5,0,-32,0,0,1
KR_6742580203,-6,0,39,1,1,1,1,0,1,4,-3,-7,0,1
KR_6750725178,55,11,40,1,0,0,1,0,3,-3,43,0,0,1
KR_6745462576,2,0,-7,-1,1,1,1,0,0,-2,10,20,0,1
KR_6753340870,7,7,5,-1,-1,1,1,0,1,0,-25,-4,0,1
KR_6750593152,-3,0,-12,1,-1,1,1,0,3,0,-2,7,0,1
KR_6749397908,6,1,-48,-1,1,-1,-1,0,1,-3,3,6,0,1
KR_6747082746,-20,-7,62,-1,1,-1,0,0,1,-1,-12,14,0,1
KR_6745378686,3,7,44,1,1,-1,1,0,2,-7,12,-19,0,1
KR_6752894459,3,-1,-21,-1,0,0,1,-1,-1,0,-7,0,0,1
KR_6751561526,45,2,-9,-1,0,0,-1,0,1,-4,2,0,0,1
KR_6738734309,2,7,24,1,-1,1,1,0,3,3,0,-17,0,1
KR_6735326635,9,10,53,1,1,1,1,0,5,-1,6,19,0,1
KR_6722630093,-3,5,56,1,1,1,1,0,3,-1,24,33,0,1
KR_6721366705,17,5,60,1,1,1,1,0,3,0,-2,54,0,1
KR_6738127009,27,22,100,1,1,1,1,0,8,3,10,5,0,1
KR_6733157096,15,15,64,1,1,-1,1,0,3,0,11,21,0,1
KR_6750321779,14,7,-8,1,1,1,1,0,1,-1,5,33,0,1
KR_6751632182,-76,-18,12,-1,0,0,1,1,-2,8,-71,0,0,1
KR_6745505074,-2,2,23,1,-1,-1,0,0,0,-1,4,-8,0,1
KR_6751591297,2,8,85,-1,1,1,1,0,4,2,15,-11,0,1
KR_6745774199,-8,-4,-21,-1,1,1,1,0,0,5,-30,19,0,1
KR_6747971652,3,-1,7,1,-1,1,1,0,-1,4,-10,3,0,1
KR_6745304410,62,29,10,1,0,0,1,2,7,0,28,0,0,1
KR_6751555565,1,6,63,1,1,-1,1,0,4,21,-41,8,0,1
KR_6747823658,1,-1,5,-1,1,-1,-1,0,1,-2,0,-14,0,1
KR_6750407606,-7,-7,-12,-1,0,-1,-1,0,1,-1,2,-5,0,1
KR_6744869351,2,3,-8,1,-1,1,0,0,1,2,-21,13,0,1
KR_6751028392,10,10,65,1,-1,1,1,0,1,4,9,-11,0,1
KR_6750590901,1,0,6,-1,-1,-1,0,0,-1,0,-6,-16,0,1
KR_6753363272,14,16,65,1,-1,-1,-1,0,5,1,2,16,0,1
KR_6752911802,13,12,-33,1,1,1,1,0,0,8,-10,5,0,1
KR_6740995797,7,9,51,1,1,1,1,0,5,6,-3,62,0,1
KR_6750936082,-3,-5,21,-1,-1,1,0,0,0,-9,0,11,0,1
KR_6750836294,-4,-2,-7,-1,1,-1,-1,0,-1,-12,45,29,0,1
KR_6753102044,6,5,11,1,1,-1,1,0,1,7,2,8,0,1
KR_6727741176,4,3,-27,1,-1,-1,-1,0,0,-1,-26,-28,0,1
KR_6748005438,10,7,3,-1,1,1,1,0,5,-4,0,10,0,1
KR_6736025159,13,7,19,1,1,1,1,0,1,-5,1,-20,0,1
KR_6744418053,16,11,-8,1,1,-1,1,0,3,3,25,-5,0,1
KR_6749264192,12,7,77,1,1,-1,1,0,3,7,-20,27,0,1
KR_6748157556,17,13,43,1,1,1,1,0,3,-1,11,-4,0,1
KR_6747634390,4,0,-43,-1,1,1,-1,0,-1,6,-9,28,0,1
KR_6752453213,-31,-11,16,-1,0,0,1,0,-4,0,-5,0,0,1
KR_6751480626,-3,-5,-25,-1,0,0,1,0,-1,0,-52,0,0,1
KR_6750062644,3,3,-14,-1,1,1,1,0,0,-5,-1,15,0,1
KR_6750776225,-38,-12,-36,1,0,0,-1,-1,-7,8,-102,0,0,1
KR_6751610975,11,6,27,1,1,1,-1,0,3,2,11,40,0,1
KR_6747832339,16,14,37,1,-1,1,1,0,3,3,-1,31,0,1
KR_6733684065,11,8,-23,1,-1,-1,0,0,1,-7,7,-17,0,1
KR_6750080100,21,23,81,-1,1,1,1,0,6,1,4,-8,0,1
KR_6743864336,11,6,62,1,1,-1,1,0,1,-3,-19,-39,0,1
KR_6742922948,-15,-10,18,1,1,1,1,0,-3,0,-29,-5,0,1
KR_6729934769,6,-2,33,-1,1,-1,-1,0,-1,10,-40,-11,0,1
KR_6741020754,14,3,-5,1,-1,1,-1,0,0,-5,-4,18,0,1
KR_6745687315,6,6,7,-1,-1,1,1,0,1,-2,-8,-16,0,1
KR_6746842737,13,18,-42,1,1,1,1,0,3,-3,1,28,0,1
KR_6749855880,30,9,11,-1,0,0,-1,1,3,0,0,0,0,1
KR_6716816401,2,6,34,1,1,-1,1,0,1,1,0,6,0,1
KR_6721692617,7,2,-12,-1,-1,1,1,0,1,3,14,-7,0,1
KR_6751191124,24,9,-49,1,1,1,-1,0,1,-2,0,16,0,1
KR_6747984074,25,8,12,1,1,1,1,0,3,9,-16,21,0,1
KR_6741321546,11,11,33,1,1,1,-1,0,3,1,1,-16,0,1
KR_6751795358,0,-4,-4,-1,1,-1,-1,0,0,1,-5,8,0,1
KR_6753371625,-3,-3,-71,-1,-1,-1,-1,0,0,-5,-3,-5,0,1
